date,fivepm,ninepm,twopm
JANUARY,4PM,9PM,11AM
1/2/2014,8-2-3,9-8-6,5-8-4
1/3/2014,7-9-8,6-3-6,6-5-7
1/4/2014,8-4-5,9-3-9,3-0-5
1/5/2014,9-3-6,4-2-6,8-8-6
1/6/2014,6-8-4,5-4-3,3-0-7
1/7/2014,0-0-1,4-8-0,1-9-4
1/8/2014,7-4-3,4-4-5,2-1-5
1/9/2014,6-1-8,3-9-4,1-3-2
1/10/2014,5-0-7,0-7-4,6-2-6
1/11/2014,7-1-1,0-5-1,3-1-8
1/12/2014,8-7-9,8-6-0,6-0-1
1/13/2014,1-0-6,9-8-0,1-5-5
1/14/2014,8-4-7,2-1-7,0-4-6
1/15/2014,0-3-8,8-6-7,3-7-9
1/16/2014,1-6-0,8-7-4,0-9-6
1/17/2014,0-7-9,9-3-6,2-5-7
1/18/2014,2-7-2,6-7-6,6-0-9
1/19/2014,2-5-5,0-9-9,6-5-4
1/20/2014,1-9-9,5-8-0,5-2-8
1/21/2014,1-2-4,4-6-3,2-8-3
1/22/2014,8-5-3,8-5-6,0-4-7
1/23/2014,9-8-9,1-7-3,7-5-0
1/24/2014,6-5-4,2-9-6,8-8-9
1/25/2014,9-6-9,7-1-7,7-2-1
1/26/2014,5-8-2,4-1-8,1-9-7
1/27/2014,2-0-4,1-8-7,1-3-8
1/28/2014,7-5-7,7-6-1,6-5-7
1/29/2014,8-4-5,7-0-8,7-4-5
1/30/2014,0-3-5,9-7-7,8-7-5
1/31/2014,8-7-9,1-6-0,7-3-7
FEBRUARY,4PM,9PM,11AM
,,,
1/1/2021,N/D,N/D,N/D
1/2/2021,3-1-3,0-1-3,1-0-3
JANUARY,4PM,9PM,11AM
2/1/2014,2-0-4,4-4-9,2-2-1
2/2/2014,1-3-7,2-1-1,2-8-2
2/3/2014,8-0-2,8-7-1,7-3-1
2/4/2014,7-0-9,3-8-9,2-7-6
2/5/2014,6-9-9,2-7-3,7-7-5
2/6/2014,4-4-0,6-7-6,8-2-4
2/7/2014,0-2-1,3-4-3,3-8-9
2/8/2014,2-0-0,3-6-6,7-0-6
2/9/2014,4-0-7,9-2-5,2-6-4
1/3/2021,0-6-0,9-0-9,7-4-4
1/4/2021,1-4-6,5-8-9,3-0-1
1/5/2021,0-1-2,8-5-2,0-1-1
1/6/2021,7-8-3,9-4-1,0-5-0
1/7/2021,1-1-4,0-2-0,2-9-4
1/8/2021,9-2-5,1-1-3,9-3-0
1/9/2021,9-0-4,7-3-3,0-3-9
1/10/2021,2-6-7,8-2-4,1-5-7
1/11/2021,1-5-2,6-6-8,3-0-9
1/2/2019,2-4-5,2-2-0,3-8-2
1/3/2019,2-4-9,9-6-9,3-9-8
1/4/2019,3-7-1,0-1-9,9-5-2
1/5/2019,5-7-5,5-5-4,6-4-8
1/6/2019,7-0-6,0-0-4,9-5-2
1/7/2019,4-5-0,4-0-5,8-7-1
1/8/2019,1-3-9,1-6-7,8-7-4
1/9/2019,5-4-4,4-1-9,8-8-2
1/10/2019,2-9-4,6-5-0,8-9-8
1/11/2019,6-7-4,7-0-3,3-9-3
1/12/2019,9-4-3,0-2-0,7-6-2
2/10/2014,4-3-4,1-8-2,9-4-9
2/11/2014,4-2-6,0-4-3,7-0-9
2/12/2014,1-0-3,6-9-7,8-6-2
2/13/2014,1-2-6,4-2-7,3-8-6
2/14/2014,2-2-4,9-8-6,0-3-1
2/15/2014,1-0-8,7-7-6,6-3-8
2/16/2014,3-1-4,4-4-8,2-4-9
2/17/2014,5-1-9,3-8-9,6-1-5
2/18/2014,8-5-2,1-1-3,8-2-6
1/12/2021,4-4-5,1-0-1,7-5-0
1/13/2021,2-7-5,5-0-8,8-0-6
1/14/2021,9-8-6,9-3-2,2-5-5
1/15/2021,3-6-6,4-9-8,1-5-6
1/16/2021,7-3-9,5-6-3,7-3-0
1/13/2019,6-8-2,3-8-5,9-2-3
1/14/2019,5-1-8,2-8-7,8-6-4
1/15/2019,6-6-7,9-6-0,1-8-8
1/16/2019,9-6-7,7-1-5,3-2-9
1/17/2019,8-3-5,4-8-0,3-7-7
1/18/2019,8-0-4,5-0-7,7-6-8
1/19/2019,8-7-4,1-4-4,3-7-5
1/21/2019,2-8-8,8-0-3,0-5-7
2/19/2014,5-2-0,9-9-6,4-2-5
2/20/2014,7-8-6,4-1-4,1-5-7
2/21/2014,1-7-6,5-3-8,9-4-4
2/22/2014,9-8-2,8-3-7,7-1-1
2/23/2014,6-5-7,8-6-4,6-9-0
2/24/2014,0-6-1,0-4-1,0-9-8
2/25/2014,9-2-5,2-4-7,9-6-9
2/26/2014,4-9-2,0-5-0,9-4-1
2/27/2014,4-7-5,8-0-6,7-4-4
2/28/2014,7-3-7,5-6-3,5-2-5
MARCH,4PM,9PM,11AM
3/1/2014,6-5-8,0-7-6,3-3-2
3/2/2014,3-1-7,6-5-8,9-4-8
1/17/2021,0-2-7,2-2-6,6-2-2
1/18/2021,5-1-1,7-6-7,2-1-9
1/19/2021,0-4-5,9-1-3,2-0-8
1/20/2021,0-1-2,9-5-6,6-8-0
1/21/2021,9-4-0,1-0-9,3-9-3
1/22/2021,8-5-4,8-1-0,6-4-4
1/23/2021,1-4-3,5-1-3,5-9-8
1/24/2021,5-5-6,7-1-9,3-9-4
1/20/2019,8-0-4,8-5-6,7-1-7
1/22/2019,8-2-0,6-1-4,9-2-4
1/23/2019,3-5-5,1-5-0,5-5-2
1/24/2019,6-8-7,1-7-3,3-0-5
1/25/2019,9-5-3,9-0-2,8-8-8
1/26/2019,6-7-3,2-2-5,0-6-9
1/27/2019,4-5-1,2-8-7,8-8-2
1/28/2019,4-2-4,0-0-0,1-5-6
1/29/2019,9-5-4,5-8-7,7-9-8
1/30/2019,2-5-3,4-8-0,1-8-6
1/31/2019,3-7-6,5-2-2,5-1-8
3/3/2014,4-5-8,0-6-0,2-4-8
3/4/2014,6-7-2,5-2-9,6-0-3
3/5/2014,4-8-7,2-5-5,5-8-4
3/6/2014,7-4-9,9-9-3,0-6-3
3/7/2014,0-4-8,6-1-6,3-5-4
3/8/2014,8-8-5,0-5-7,2-8-2
3/9/2014,4-8-1,1-9-1,9-6-8
1/25/2021,5-1-7,0-9-3,7-5-7
1/26/2021,0-8-7,2-6-6,4-5-7
1/27/2021,6-7-9,1-8-0,4-6-9
1/28/2021,9-5-7,0-9-3,0-0–5
1/29/2021,4-5-2,0-9-2,8-8-2
1/30/2021,4-0-1,0-6-3,0-6-6
1/31/2021,1-3-5,9-7-1,7-3-0
FEBRUARY,5PM,9PM,2PM
2/1/2021,1-4-2,5-4-0,4-4-6
2/2/2021,4-9-1,7-8-0,3-6-3
FEBRUARY,4PM,9PM,11AM
2/1/2019,6-4-2,4-5-6,9-2-2
2/2/2019,6-9-8,0-3-7,5-7-6
2/3/2019,3-9-0,7-7-2,0-7-9
2/4/2019,0-4-9,3-0-2,3-9-9
2/5/2019,1-9-6,7-3-8,6-4-9
2/6/2019,8-0-8,6-9-5,5-7-8
2/7/2019,2-8-0,0-9-6,3-6-9
2/8/2019,5-5-5,1-2-1,6-6-6
2/9/2019,3-4-1,4-0-5,1-6-3
2/10/2019,2-2-9,7-7-0,4-1-7
2/11/2019,9-9-5,4-0-5,6-1-6
3/10/2014,7-5-6,4-3-7,9-0-5
3/11/2014,2-4-5,8-2-2,0-2-5
3/12/2014,9-1-5,6-8-4,0-0-9
3/13/2014,5-8-7,0-3-2,6-9-9
3/14/2014,9-7-5,2-9-2,0-6-4
3/15/2014,0-4-7,0-5-1,3-9-9
2/3/2021,8-6-7,0-4-8,6-7-4
2/4/2021,0-9-6,2-9-5,3-9-0
2/5/2021,3-9-7,9-7-7,7-7-8
2/6/2021,0-2-7,8-5-4,9-7-5
2/7/2021,6-3-3,5-9-9,7-4-4
2/8/2021,0-8-8,6-0-1,4-5-4
2/9/2021,1-8-9,7-7-2,9-0-7
2/12/2019,0-4-1,4-8-0,3-2-8
2/13/2019,0-7-6,1-4-5,6-8-3
2/14/2019,4-4-4,4-4-3,9-7-1
2/15/2019,5-3-5,8-9-7,5-1-0
2/16/2019,9-7-1,7-5-1,2-9-9
2/17/2019,9-3-4,5-5-5,4-4-4
2/18/2019,4-6-8,5-6-8,3-1-1
2/19/2019,8-3-1,3-2-7,1-5-7
2/20/2019,3-3-2,6-8-5,8-0-6
2/21/2019,0-8-3,7-9-5,2-0-3
2/22/2019,0-5-7,7-0-5,5-2-8
2/23/2019,1-2-1,5-5-1,8-3-0
2/24/2019,1-1-2,1-8-6,6-9-7
3/16/2014,2-2-9,3-8-9,2-5-1
3/17/2014,5-4-2,4-0-5,9-4-3
3/18/2014,1-8-5,8-6-1,5-1-0
3/19/2014,0-9-7,9-5-2,4-1-5
3/20/2014,0-7-8,4-3-3,4-4-7
3/21/2014,1-8-4,6-0-8,3-2-5
3/22/2014,8-7-3,7-4-4,5-5-2
2/10/2021,7-4-0,1-0-9,2-0-1
2/11/2021,1-9-8,6-0-5,1-2-0
2/12/2021,7-5-6,8-8-7,4-8-6
2/13/2021,2-5-3,9-3-3,8-1-6
2/14/2021,7-7-3,5-9-7,8-4-2
2/15/2021,1-6-6,3-2-4,2-4-1
2/16/2021,5-8-8,1-0-7,8-2-0
2/17/2021,5-8-8,8-0-0,8-8-5
2/25/2019,7-5-3,1-8-1,5-3-8
2/26/2019,9-5-6,0-8-7,1-5-2
2/27/2019,4-0-8,8-9-5,7-6-5
2/28/2019,7-8-8,6-7-7,8-8-4
MARCH,4PM,9PM,11AM
3/1/2019,1-0-2,6-7-0,7-5-0
3/2/2019,3-6-8,3-6-9,9-1-1
JANUARY,4PM,9PM,11AM
3/23/2014,9-1-2,8-3-5,4-6-3
3/24/2014,3-4-5,3-5-7,7-5-7
3/25/2014,0-6-6,8-6-0,2-8-8
3/26/2014,6-6-2,0-6-6,2-3-5
3/27/2014,7-0-5,2-4-5,5-1-4
3/28/2014,6-5-8,0-1-2,8-1-6
3/29/2014,1-7-8,4-2-9,8-7-5
3/30/2014,8-4-5,3-2-4,0-4-9
2/18/2021,6-8-5,2-5-1,0-4-9
2/19/2021,3-0-8,4-4-6,5-6-3
2/20/2021,9-2-8,9-3-7,2-4-6
2/21/2021,6-6-0,5-3-2,3-2-3
2/22/2021,6-4-8,8-4-2,3-6-0
2/23/2021,8-6-3,7-0-6,4-1-4
2/24/2021,8-3-4,3-7-3,1-1-7
2/25/2021,1-4-4,6-4-4,4-9-4
2/26/2021,9-1-8,3-2-2,9-0-4
2/27/2021,0-4-7,8-0-7,9-7-7
3/3/2019,4-0-1,9-4-1,7-3-5
3/4/2019,5-4-6,5-2-9,8-6-1
3/5/2019,3-3-2,5-6-9,1-4-0
3/6/2019,1-5-4,0-0-5,1-6-3
3/7/2019,0-0-8,5-0-7,0-8-7
3/8/2019,7-2-6,7-8-0,3-8-4
3/9/2019,1-9-2,0-5-7,6-2-8
3/10/2019,4-2-1,5-6-2,7-2-4
3/11/2019,6-3-8,2-7-0,6-2-4
3/12/2019,9-1-8,9-2-6,6-5-7
3/13/2019,5-5-4,9-2-8,6-8-3
1/2/2016,5-9-3,1-2-9,2-1-9
1/3/2016,4-5-4,2-7-1,0-0-9
1/4/2016,0-9-9,2-2-0,5-4-4
1/5/2016,0-8-6,2-0-8,0-3-2
1/6/2016,3-7-7,6-6-6,3-4-1
1/7/2016,3-4-1,0-6-7,9-9-7
1/8/2016,6-3-1,6-2-3,9-1-4
1/9/2016,0-9-5,5-0-9,8-0-3
1/10/2016,0-8-2,5-8-1,8-9-8
1/11/2016,7-3-4,4-7-2,3-4-8
3/31/2014,8-4-7,9-5-3,5-4-7
APRIL,4PM,9PM,11AM
4/1/2014,5-2-3,6-7-8,0-9-9
4/2/2014,1-0-3,4-9-7,7-2-4
4/3/2014,5-6-0,5-6-2,1-9-3
4/4/2014,8-8-6,2-8-3,7-8-5
4/5/2014,5-4-5,9-3-2,3-3-4
4/6/2014,1-0-6,8-0-0,2-2-6
4/7/2014,4-8-1,3-1-4,4-4-3
4/8/2014,6-5-0,3-1-2,9-8-7
4/9/2014,9-7-4,1-9-3,7-6-7
4/10/2014,0-8-2,5-6-4,2-2-6
4/11/2014,9-6-4,8-4-7,8-1-0
4/12/2014,4-5-2,6-0-7,8-9-8
JANUARY,4PM,9PM,11AM
1/1/2020,N/D,N/D,N/D
JANUARY,4PM,9PM,11AM
2/28/2021,8-2-8,7-8-0,6-7-9
MARCH,5PM,9PM,2PM
3/1/2021,3-6-0,1-0-7,2-9-3
3/2/2021,9-9-5,1-1-3,2-5-3
3/3/2021,6-9-5,3-1-0,8-5-0
3/4/2021,6-2-1,8-1-3,3-6-7
3/5/2021,4-5-7,0-8-9,2-3-5
3/6/2021,2-5-9,0-7-9,8-0-7
3/7/2021,0-4-5,1-9-7,0-0-8
3/14/2019,2-7-6,9-6-1,6-7-1
3/15/2019,5-5-7,3-8-9,0-4-1
3/16/2019,5-5-6,6-0-0,2-5-9
3/17/2019,5-2-8,2-1-5,9-2-1
3/18/2019,7-1-0,4-2-5,3-7-9
3/19/2019,4-7-9,5-8-3,7-4-2
3/20/2019,4-8-1,5-3-8,2-5-7
3/21/2019,8-7-6,9-6-0,2-2-7
3/22/2019,1-5-4,7-6-4,5-8-1
3/23/2019,1-0-6,7-3-3,2-3-4
3/24/2019,9-0-5,2-3-6,7-0-2
3/25/2019,9-2-7,6-1-7,9-6-8
1/12/2016,8-1-7,4-5-4,7-9-7
1/13/2016,6-3-6,1-6-9,3-5-3
1/14/2016,0-1-2,9-6-6,0-6-8
1/15/2016,0-8-2,5-7-9,6-7-3
1/16/2016,1-8-0,0-0-1,8-8-3
1/17/2016,9-4-0,5-1-1,6-1-3
4/13/2014,8-6-6,2-5-6,3-4-6
4/14/2014,0-3-9,4-1-8,1-4-7
4/15/2014,3-0-6,7-1-4,7-5-5
4/16/2014,0-1-1,2-9-7,4-0-7
4/21/2014,6-8-4,4-2-9,4-5-2
4/22/2014,3-7-8,8-1-8,5-5-8
4/23/2014,7-9-8,6-7-6,4-1-9
4/24/2014,3-4-6,6-1-6,1-8-9
4/25/2014,6-7-8,2-0-3,5-9-1
