date,fivepm,ninepm,twopm
2020-10-10,697.0,961.0,865.0
2020-10-11,731.0,851.0,864.0
2020-10-12,793.0,128.0,590.0
2020-10-13,517.0,726.0,918.0
2020-10-14,480.0,722.0,800.0
2020-10-15,399.0,863.0,249.0
2020-10-16,485.0,326.0,918.0
2020-10-17,682.0,437.0,982.0
2020-10-18,527.0,625.0,57.0
2020-10-19,615.0,599.0,709.0
2020-10-20,152.0,923.0,939.0
2020-10-21,39.0,204.0,868.0
2020-10-22,829.0,445.0,818.0
2020-10-23,939.0,270.0,516.0
2020-10-24,970.0,343.0,23.0
2020-10-25,228.0,833.0,596.0
2020-10-26,559.0,305.0,896.0
2020-10-27,299.0,590.0,357.0
2020-10-28,2.0,592.0,527.0
2020-10-29,163.0,835.0,664.0
2020-10-30,335.0,362.0,587.0
2020-10-31,534.0,659.0,708.0
2020-11-10,448.0,191.0,191.0
2020-11-11,666.0,220.0,179.0
2020-11-12,911.0,276.0,385.0
2020-11-13,812.0,398.0,162.0
2020-11-14,486.0,527.0,468.0
2020-11-15,583.0,27.0,942.0
2020-11-16,559.0,129.0,176.0
2020-11-17,726.0,451.0,844.0
2020-11-18,168.0,354.0,248.0
2020-11-19,56.0,474.0,558.0
2020-11-20,309.0,814.0,701.0
2020-11-21,367.0,427.0,114.0
2020-11-22,453.0,817.0,24.0
2020-11-23,927.0,990.0,477.0
2020-11-24,439.0,771.0,877.0
2020-11-25,748.0,852.0,39.0
2020-11-26,205.0,943.0,263.0
2020-11-27,376.0,877.0,242.0
2020-11-28,801.0,791.0,118.0
2020-11-29,221.0,395.0,369.0
2020-11-30,731.0,316.0,107.0
2014-10-10,367.0,187.0,290.0
2014-10-11,655.0,197.0,72.0
2014-10-12,553.0,580.0,309.0
2014-10-13,634.0,197.0,384.0
2014-10-14,753.0,914.0,206.0
2014-10-15,918.0,435.0,64.0
2014-10-16,302.0,850.0,671.0
2014-10-17,348.0,75.0,486.0
2020-12-10,66.0,189.0,324.0
2020-12-11,476.0,903.0,339.0
2014-10-18,445.0,760.0,526.0
2014-10-19,395.0,542.0,777.0
2014-10-20,629.0,529.0,276.0
2014-10-21,409.0,288.0,118.0
2014-10-22,565.0,261.0,372.0
2014-10-23,320.0,367.0,789.0
2014-10-24,301.0,593.0,975.0
2014-10-25,43.0,120.0,106.0
2014-10-26,962.0,967.0,816.0
2014-10-27,704.0,710.0,571.0
2014-10-28,4.0,286.0,8.0
2014-10-29,581.0,674.0,556.0
2014-10-30,200.0,527.0,203.0
2014-10-31,883.0,679.0,541.0
2020-12-12,949.0,57.0,279.0
2020-12-13,826.0,211.0,226.0
2020-12-14,102.0,391.0,951.0
2020-12-15,17.0,655.0,137.0
2020-12-16,358.0,468.0,511.0
2020-12-17,69.0,494.0,49.0
2020-12-18,751.0,854.0,745.0
2019-10-10,923.0,392.0,346.0
2019-10-11,799.0,586.0,154.0
2020-12-19,651.0,348.0,636.0
2020-12-20,259.0,360.0,146.0
2020-12-21,743.0,236.0,853.0
2020-12-22,901.0,159.0,673.0
2020-12-23,443.0,3.0,418.0
2020-12-24,387.0,808.0,511.0
2020-12-25,,,
2020-12-26,258.0,86.0,283.0
2020-12-27,750.0,761.0,915.0
2019-10-12,386.0,327.0,346.0
2019-10-13,184.0,275.0,431.0
2019-10-14,135.0,111.0,476.0
2019-10-15,612.0,595.0,613.0
2019-10-16,332.0,756.0,531.0
2019-10-17,375.0,681.0,399.0
2019-10-18,678.0,662.0,268.0
2019-10-19,721.0,667.0,247.0
2014-11-10,511.0,741.0,200.0
2014-11-11,941.0,841.0,222.0
2014-11-12,301.0,151.0,823.0
2014-11-13,908.0,755.0,805.0
2020-12-28,247.0,792.0,639.0
2020-12-29,493.0,131.0,328.0
2020-12-30,218.0,700.0,332.0
2020-12-31,438.0,463.0,36.0
2019-10-20,144.0,254.0,564.0
2019-10-21,741.0,27.0,941.0
2019-10-22,585.0,208.0,921.0
2019-10-23,160.0,396.0,37.0
2019-10-24,226.0,182.0,932.0
2019-10-25,490.0,843.0,13.0
2019-10-26,219.0,942.0,255.0
2019-10-27,229.0,11.0,906.0
2019-10-28,879.0,754.0,299.0
2019-10-29,59.0,114.0,259.0
2019-10-30,964.0,464.0,471.0
2019-10-31,465.0,440.0,704.0
2014-11-14,905.0,720.0,67.0
2014-11-15,534.0,241.0,211.0
2014-11-16,150.0,79.0,539.0
2014-11-17,658.0,753.0,811.0
